id,fk_tag_id,fk_pattern_description_id
1,0,1
3,2,10
5,4,15
200,1,195
201,5,195
202,0,196
203,0,197
205,3,198
206,4,198
204,5,198
208,4,199
209,6,199
207,7,199
211,4,200
212,6,200
210,7,200
213,1,201
215,1,202
214,3,202
216,3,203
217,6,203
218,1,204
219,4,204
220,0,205
221,1,206
222,0,207
223,2,208
224,0,209
225,0,210
226,0,211
227,0,212
228,2,213
229,3,213
230,2,214
231,3,214
232,0,215
233,4,216
234,6,216
235,0,217
237,2,218
236,3,218
239,2,219
238,3,219
240,0,220
241,1,221
242,2,221
243,4,221
245,2,222
244,7,222
246,0,223
248,2,224
247,7,224
249,2,225
250,3,225
251,2,226
252,3,226
253,2,227
254,3,227
256,1,228
255,7,228
258,1,229
257,7,229
260,1,230
259,7,230
262,1,231
261,7,231
263,1,232
264,3,232
265,0,233
266,0,234
267,1,235
268,3,235
269,3,236
270,7,236
271,3,237
272,7,237
273,7,238
275,1,239
274,2,239
276,0,240
277,0,241
278,0,242
279,0,243
280,1,244
281,2,244
290,3,249
291,4,249
296,1,252
297,3,252
303,3,255
302,5,255
304,1,256
305,5,256
307,1,257
306,3,257
308,1,258
309,0,259
312,3,262
313,0,263
314,0,264
315,0,265
316,0,266
317,0,267
318,2,268
320,1,269
319,3,269
323,0,272
324,3,273
326,3,274
325,5,274
327,3,275
328,3,276
331,5,279
332,7,279
334,3,280
333,5,280
335,0,281
338,0,284
339,0,285
340,0,286
341,0,287
342,0,288
343,0,289
344,0,290
345,0,291
346,0,292
347,0,293
348,0,294
349,0,295
350,0,296
351,0,297
352,0,298
353,7,299
354,7,300
355,2,301
356,0,302
357,1,303
358,5,303
365,4,306
363,5,306
364,7,306
366,2,307
367,7,307
368,2,308
369,0,309
370,0,310
371,0,311
372,1,312
377,2,315
376,4,315
375,7,315
379,1,316
378,7,316
380,2,317
381,2,318
382,7,318
383,0,319
384,0,320
385,3,321
386,2,322
387,5,322
398,4,327
400,3,328
401,4,328
399,7,328
403,2,329
404,3,329
402,4,329
406,3,330
407,4,330
405,7,330
409,2,331
410,3,331
408,4,331
411,5,332
412,2,333
413,3,333
414,0,334
415,7,335
416,4,336
417,4,337
419,5,338
418,7,338
420,1,339
421,3,340
428,1,345
429,0,346
430,2,347
431,5,347
432,0,348
433,2,349
434,3,349
435,3,350
437,3,351
436,7,351
438,5,352
439,0,353
440,0,354
445,0,359
449,2,362
448,3,362
450,1,363
451,3,363
462,4,368
460,6,368
461,7,368
464,4,369
463,7,369
465,3,370
466,0,371
467,1,372
468,7,372
469,0,373
470,0,374
473,0,377
474,0,378
475,3,379
476,0,380
479,0,383
480,0,384
481,0,385
482,0,386
483,0,387
484,0,388
485,0,389
486,0,390
487,0,391
489,3,392
490,4,392
488,7,392
491,4,393
492,5,394
493,5,395
494,2,396
495,2,397
496,7,397
497,0,398
498,1,399
499,2,400
500,5,400
502,1,401
501,2,401
503,6,402
504,2,403
507,2,406
510,0,409
511,2,410
512,0,411
513,0,412
514,5,413
516,2,414
515,5,414
517,2,415
518,0,416
519,3,417
520,7,417
521,0,418
522,5,419
523,7,419
524,0,420
525,3,421
526,6,421
529,0,424
530,2,425
531,4,425
532,2,426
533,7,426
535,3,427
534,6,427
536,1,428
537,3,429
538,5,429
539,1,430
540,2,430
542,1,431
541,6,431
544,1,432
543,6,432
546,1,433
545,6,433
547,5,434
548,7,434
549,1,435
550,5,435
551,4,436
558,0,439
562,1,442
561,2,442
563,4,442
564,3,443
565,7,443
566,3,444
568,4,444
567,7,444
569,1,445
570,5,445
571,0,446
572,0,447
573,0,448
574,0,449
575,0,450
577,2,451
576,7,451
578,0,452
579,5,453
580,2,454
581,3,454
582,1,455
584,1,456
583,6,456
585,2,457
586,0,458
589,3,461
590,3,462
591,0,463
592,0,464
593,0,465
595,3,466
594,7,466
596,0,467
597,0,468
598,2,469
605,2,476
606,7,476
607,1,477
608,5,477
609,5,478
610,6,478
611,5,479
612,6,479
615,2,482
617,4,482
616,6,482
618,3,483
619,6,483
620,2,484
622,3,485
621,6,485
623,3,486
625,3,487
624,6,487
632,3,490
630,4,490
631,7,490
633,2,491
634,0,492
635,5,493
636,3,494
637,7,494
638,5,495
639,0,496
640,0,497
642,2,498
641,7,498
643,3,499
644,3,500
645,6,501
646,6,502
647,1,503
648,4,503
649,3,504
