id,name,bpm,nps
608,AllMapsGroupedV1,170.0,-91.0
607,AllMapsGroupedV1,170.0,-83.0
606,AllMapsGroupedV1,170.0,-54.0
215,AllMapsGroupedV1,86.0,-1.0
452,AllMapsGroupedV1,135.0,-1.0
500,AllMapsGroupedV1,145.0,-1.0
660,AllMapsGroupedV1,180.0,-1.0
205,AllMapsGroupedV1,68.0,0.0
208,AllMapsGroupedV1,80.0,0.0
223,AllMapsGroupedV1,91.0,0.0
244,AllMapsGroupedV1,100.0,0.0
312,AllMapsGroupedV1,107.0,0.0
354,AllMapsGroupedV1,120.0,0.0
396,AllMapsGroupedV1,124.0,0.0
399,AllMapsGroupedV1,125.0,0.0
413,AllMapsGroupedV1,126.0,0.0
519,AllMapsGroupedV1,150.0,0.0
550,AllMapsGroupedV1,156.0,0.0
688,AllMapsGroupedV1,188.0,0.0
714,AllMapsGroupedV1,192.0,0.0
790,AllMapsGroupedV1,210.0,0.0
1009,AllMapsGroupedV1,999.0,0.0
204,AllMapsGroupedV1,66.0,1.0
232,AllMapsGroupedV1,95.0,1.0
298,AllMapsGroupedV1,103.0,1.0
315,AllMapsGroupedV1,107.0,1.0
316,AllMapsGroupedV1,108.0,1.0
321,AllMapsGroupedV1,110.0,1.0
336,AllMapsGroupedV1,112.0,1.0
359,AllMapsGroupedV1,120.0,1.0
400,AllMapsGroupedV1,125.0,1.0
419,AllMapsGroupedV1,128.0,1.0
434,AllMapsGroupedV1,130.0,1.0
453,AllMapsGroupedV1,135.0,1.0
469,AllMapsGroupedV1,140.0,1.0
501,AllMapsGroupedV1,145.0,1.0
580,AllMapsGroupedV1,164.0,1.0
696,AllMapsGroupedV1,190.0,1.0
782,AllMapsGroupedV1,201.0,1.0
989,AllMapsGroupedV1,420.0,1.0
198,AllMapsGroupedV1,23.0,2.0
203,AllMapsGroupedV1,63.0,2.0
212,AllMapsGroupedV1,81.0,2.0
228,AllMapsGroupedV1,93.0,2.0
233,AllMapsGroupedV1,95.0,2.0
249,AllMapsGroupedV1,100.0,2.0
296,AllMapsGroupedV1,102.0,2.0
299,AllMapsGroupedV1,103.0,2.0
306,AllMapsGroupedV1,105.0,2.0
322,AllMapsGroupedV1,110.0,2.0
335,AllMapsGroupedV1,111.0,2.0
337,AllMapsGroupedV1,112.0,2.0
339,AllMapsGroupedV1,113.0,2.0
362,AllMapsGroupedV1,120.0,2.0
420,AllMapsGroupedV1,128.0,2.0
435,AllMapsGroupedV1,130.0,2.0
454,AllMapsGroupedV1,135.0,2.0
476,AllMapsGroupedV1,140.0,2.0
491,AllMapsGroupedV1,142.0,2.0
502,AllMapsGroupedV1,145.0,2.0
716,AllMapsGroupedV1,196.0,2.0
954,AllMapsGroupedV1,340.0,2.0
994,AllMapsGroupedV1,440.0,2.0
199,AllMapsGroupedV1,50.0,3.0
221,AllMapsGroupedV1,90.0,3.0
229,AllMapsGroupedV1,94.0,3.0
238,AllMapsGroupedV1,97.0,3.0
239,AllMapsGroupedV1,99.0,3.0
252,AllMapsGroupedV1,100.0,3.0
297,AllMapsGroupedV1,102.0,3.0
311,AllMapsGroupedV1,106.0,3.0
317,AllMapsGroupedV1,108.0,3.0
327,AllMapsGroupedV1,110.0,3.0
338,AllMapsGroupedV1,112.0,3.0
394,AllMapsGroupedV1,123.0,3.0
401,AllMapsGroupedV1,125.0,3.0
414,AllMapsGroupedV1,126.0,3.0
421,AllMapsGroupedV1,128.0,3.0
464,AllMapsGroupedV1,138.0,3.0
522,AllMapsGroupedV1,150.0,3.0
553,AllMapsGroupedV1,156.0,3.0
574,AllMapsGroupedV1,161.0,3.0
609,AllMapsGroupedV1,170.0,3.0
697,AllMapsGroupedV1,190.0,3.0
885,AllMapsGroupedV1,256.0,3.0
955,AllMapsGroupedV1,340.0,3.0
200,AllMapsGroupedV1,50.0,4.0
214,AllMapsGroupedV1,85.0,4.0
216,AllMapsGroupedV1,86.0,4.0
222,AllMapsGroupedV1,90.0,4.0
224,AllMapsGroupedV1,91.0,4.0
225,AllMapsGroupedV1,92.0,4.0
234,AllMapsGroupedV1,95.0,4.0
300,AllMapsGroupedV1,103.0,4.0
328,AllMapsGroupedV1,110.0,4.0
363,AllMapsGroupedV1,120.0,4.0
395,AllMapsGroupedV1,123.0,4.0
424,AllMapsGroupedV1,128.0,4.0
429,AllMapsGroupedV1,129.0,4.0
455,AllMapsGroupedV1,135.0,4.0
477,AllMapsGroupedV1,140.0,4.0
503,AllMapsGroupedV1,145.0,4.0
512,AllMapsGroupedV1,148.0,4.0
610,AllMapsGroupedV1,170.0,4.0
633,AllMapsGroupedV1,175.0,4.0
683,AllMapsGroupedV1,186.0,4.0
698,AllMapsGroupedV1,190.0,4.0
886,AllMapsGroupedV1,256.0,4.0
905,AllMapsGroupedV1,280.0,4.0
226,AllMapsGroupedV1,92.0,5.0
230,AllMapsGroupedV1,94.0,5.0
235,AllMapsGroupedV1,95.0,5.0
255,AllMapsGroupedV1,100.0,5.0
303,AllMapsGroupedV1,104.0,5.0
307,AllMapsGroupedV1,105.0,5.0
397,AllMapsGroupedV1,124.0,5.0
436,AllMapsGroupedV1,130.0,5.0
492,AllMapsGroupedV1,142.0,5.0
498,AllMapsGroupedV1,144.0,5.0
513,AllMapsGroupedV1,148.0,5.0
523,AllMapsGroupedV1,150.0,5.0
546,AllMapsGroupedV1,152.0,5.0
575,AllMapsGroupedV1,161.0,5.0
611,AllMapsGroupedV1,170.0,5.0
634,AllMapsGroupedV1,175.0,5.0
